ID,description,prise,region,promo_price,url
3396151,Конструктор LEGO Star Wars Малыш 75318,4539,"['RU-MOW', 'RU-SPE']",7499,https://www.detmir.ru/product/index/id/3396151/
3596779,Конструктор LEGO Friends Лесной водопад 41677,529,"['RU-MOW', 'RU-SPE']",799,https://www.detmir.ru/product/index/id/3596779/
3405592,Конструктор LEGO City Great Vehicles Трактор 60287,969,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3405592/
3405634,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок травологии 76384,1649,"['RU-MOW', 'RU-SPE']",2799,https://www.detmir.ru/product/index/id/3405634/
3226704,Конструктор LEGO Ninjago Тропический внедорожник 71700,529,"['RU-MOW', 'RU-SPE']",799,https://www.detmir.ru/product/index/id/3226704/
618981,Конструктор LEGO Classic Строительная пластина зеленого цвета (10700),449,"['RU-MOW', 'RU-SPE']",699,https://www.detmir.ru/product/index/id/618981/
3244553,Конструктор LEGO Super Heroes Человек-Паук Засада на веномозавра 76151,4869,"['RU-MOW', 'RU-SPE']",7499,https://www.detmir.ru/product/index/id/3244553/
3596800,Конструктор LEGO Friends Волшебное колесо обозрения и горка 41689,3129,"['RU-MOW', 'RU-SPE']",5499,https://www.detmir.ru/product/index/id/3596800/
3596767,Конструктор LEGO Minecraft Современный домик на дереве 21174,6919,"['RU-MOW', 'RU-SPE']",11499,https://www.detmir.ru/product/index/id/3596767/
3597019,Конструктор LEGO Ninjago Храм Бескрайнего моря 71755,6089,"['RU-MOW', 'RU-SPE']",9999,https://www.detmir.ru/product/index/id/3597019/
3596927,Конструктор LEGO Super Mario Небесный мир лакиту 71389,2349,"['RU-MOW', 'RU-SPE']",3699,https://www.detmir.ru/product/index/id/3596927/
3777768,Конструктор LEGO Минифигурки в непрозрачной упаковке (Сюрприз) 71031,249,"['RU-MOW', 'RU-SPE']",279,https://www.detmir.ru/product/index/id/3777768/
3597048,Конструктор LEGO Speed Champions McLaren Elva 76902,1129,"['RU-MOW', 'RU-SPE']",1799,https://www.detmir.ru/product/index/id/3597048/
3498471,Конструктор LEGO Disney Princess Райя и Дворец сердца 43181,4499,"['RU-MOW', 'RU-SPE']",7499,https://www.detmir.ru/product/index/id/3498471/
3226627,Конструктор LEGO Technic Драгстер 42103,1099,"['RU-MOW', 'RU-SPE']",1699,https://www.detmir.ru/product/index/id/3226627/
3597053,Конструктор LEGO Jurassic World Погоня за карнотавром 76941,3719,"['RU-MOW', 'RU-SPE']",4599,https://www.detmir.ru/product/index/id/3597053/
3405601,Конструктор LEGO DC Super Heroes Монстр-трак Человека-Паука против Мистерио 76174,2729,"['RU-MOW', 'RU-SPE']",4699,https://www.detmir.ru/product/index/id/3405601/
3226604,Конструктор LEGO Friends Городская больница Хартлейк Сити 41394,3419,"['RU-MOW', 'RU-SPE']",5499,https://www.detmir.ru/product/index/id/3226604/
3405546,Конструктор LEGO Disney Princess Книга сказочных приключений Эльзы и Нока 43189,1099,"['RU-MOW', 'RU-SPE']",1699,https://www.detmir.ru/product/index/id/3405546/
3597023,Конструктор LEGO Star Wars Звездолет Бобы Фетта 75312,2989,"['RU-MOW', 'RU-SPE']",4699,https://www.detmir.ru/product/index/id/3597023/
3597022,Конструктор LEGO Star Wars Имперский бронированный корвет типа Мародер 75311,3299,"['RU-MOW', 'RU-SPE']",3699,https://www.detmir.ru/product/index/id/3597022/
3226677,Конструктор LEGO City Great Vehicles Машина для очистки улиц 60249,519,"['RU-MOW', 'RU-SPE']",749,https://www.detmir.ru/product/index/id/3226677/
3142022,Конструктор LEGO DUPLO Town Пожарная машина 10901,969,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3142022/
3226709,Конструктор LEGO Ninjago Скоростные машины Джея и Ллойда 71709,1739,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3226709/
